url,full_title,title,numeric_title,effect,category,is_harmful
https://calorizator.ru/addon/e2xx/e266,E266 Дегидроацетат натрия,дегидроацетат натрия,E266,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e270,E270 Молочная кислота,молочная кислота,E270,Считаются безвредными,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e280,E280 Пропионовая кислота,пропионовая кислота,E280,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e281,E281 Пропионат натрия,пропионат натрия,E281,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e282,E282 Пропионат кальция,пропионат кальция,E282,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e283,E283 Пропионат калия,пропионат калия,E283,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e284,E284 Борная кислота,борная кислота,E284,Запрещенные,E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e285,E285 Тетраборат натрия (бура),тетраборат натрия,E285,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e290,E290 Диоксид углерода,диоксид углерода,E290,Считаются безвредными,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e296,E296 Яблочная кислота,яблочная кислота,E296,Считаются безвредными,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e297,E297 Фумаровая кислота,фумаровая кислота,E297,Считаются безвредными,E2xx Консерванты,0
https://calorizator.ru/addon/e3xx/e300,E300 Аскорбиновая кислота (Витамин С),аскорбиновая кислота,E300,Считаются полезными,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e301,E301 Аскорбат натрия,аскорбат натрия,E301,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e302,E302 Аскорбат кальция,аскорбат кальция,E302,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e303,E303 Аскорбат калия,аскорбат калия,E303,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e304,E304 Cложный эфир жирной кислоты аскорбиновой кислоты (i) Аскорбилпальмитат,cложный эфир жирной кислоты аскорбиновой кислоты,E304,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e305,E305 Cложный эфир жирной кислоты аскорбиновой кислоты (ii) Аскорбилстеарат,cложный эфир жирной кислоты аскорбиновой кислоты,E305,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e306,E306 Концентрат смеси токоферолов,концентрат смеси токоферолов,E306,Считаются полезными,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e307,E307 Альфа-токоферол синтетический (Витамин E),альфа-токоферол синтетический,E307,Считаются безвредными,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e308,E308 Гамма-токоферол синтетический,гамма-токоферол синтетический,E308,Считаются безвредными,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e309,E309 Дельта-токоферол синтетический,дельта-токоферол синтетический,E309,Запрещенные,E3xx Антиокислители (антиоксиданты),1
https://calorizator.ru/addon/e3xx/e310,E310 Пропилгаллат,пропилгаллат,E310,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e311,E311 Октилгаллат,октилгаллат,E311,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e312,E312 Додецилгаллат,додецилгаллат,E312,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e313,E313 Этилгаллат,этилгаллат,E313,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e314,E314 Гваяковая резина,гваяковая резина,E314,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e315,E315 Эриторбовая кислота,эриторбовая кислота,E315,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e316,E316 Эриторбат натрия,эриторбат натрия,E316,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e317,E317 Эриторбат калия,эриторбат калия,E317,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e318,E318 Эритробат кальция,эритробат кальция,E318,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e319,E319 Терт-бутилгидрохинон,терт-бутилгидрохинон,E319,Нет данных,E3xx Антиокислители (антиоксиданты),0
